voltage,current,temperature,soc
3.904009777,-2.005033965,24.37741972,73.66786286
3.698006453,-0.003420117,25.96567434,58.1644683
4.157829843,1.507277096,28.69343563,95.2799986
3.19270012,-2.5,30.66807782,14.05834335
3.393574303,-2.5,54.10069773,30.09282373
3.542346884,-1.9898938,48.65058624,43.17112931
3.420639878,-1.99629602,25.22638415,33.45628636
3.477888882,-2.009828942,33.58418742,38.21621031
3.334051364,0.002812206,29.90942973,27.83536389
3.19338171,-2.5,57.80753132,13.22476595
3.078810726,-0.00322916,38.59746484,6.56497719
3.293682986,-2.5,55.88001415,21.67958145
4.196043136,0.057405313,23.37898118,99.46223517
3.648966062,-2.5,48.24719436,51.66814545
3.53824681,-1.99132873,30.8382065,43.26083789
3.676072082,-2.009468369,27.39065927,54.73176551
3.683735449,-0.005888044,34.22624801,56.97324365
3.91980705,-1.989956622,23.97735715,74.95635792
4.2,0.094376687,24.28903447,99.8534021
3.479943678,-2.00457879,32.06773744,38.39164344
3.092064377,-2.5,41.59826679,5.59211807
3.674522148,-2.009536589,26.71141198,54.60254973
3.182631567,-2.5,42.15299948,13.1116473
3.500153826,-2.009794622,30.83362419,40.07164984
3.258156566,-2.5,34.51186263,19.5130472
3.236251584,-2.011701115,37.44001473,18.07827114
3.388277319,-2.5,53.62284682,29.67530091
3.569514827,-2.00707344,29.11430914,45.85391017
3.678086089,-0.00222663,33.72659807,56.50539279
3.902577212,1.513532433,25.64764585,74.00394175
3.162745844,-2.5,32.76482585,11.56215365
3.137689111,-2.5,40.4506094,9.451562141
3.276307519,-2.0098862,36.19147152,21.41771764
3.687013114,-0.003152565,40.35374071,57.23088373
3.918767196,1.511437992,26.95526872,75.3547826
3.626561855,-1.989975854,29.48762286,50.62150727
3.148237978,-2.011471681,37.25889769,10.74398747
3.208124364,-2.5,34.46989868,15.343697
4.2,-0.000113272,24.14813091,99.91472247
3.481907651,-1.990876149,33.83406647,38.56627004
3.890384992,1.514515511,26.16660337,72.98713693
3.276459906,-2.5,56.14762886,20.23094406
3.953003723,1.516346176,24.70795,78.17469501
3.42570445,-1.989485208,35.34413745,33.88378266
4.19597703,0.026163551,23.42289942,99.48611156
4.138972937,1.510917187,28.33760773,93.70567764
3.203419932,-2.011339059,35.7739029,15.34258971
3.887522528,1.48873223,28.26606453,72.76922491
3.216817702,-2.5,33.84793734,16.06814182
3.459337008,0.000975306,57.40934102,37.40683673
4.2,0.24450505,25.16745859,99.80439596
3.125584893,-2.01325154,37.52918025,8.854806531
3.14854697,-2.5,35.84276528,10.37891419
4.196571261,0.037349329,23.04600675,99.48899293
3.934058399,1.514017183,27.67729911,76.62698615
3.194527334,-2.5,36.27536718,14.21061115
3.940831301,1.516933325,27.51287648,77.18906173
3.847686828,1.490915028,24.99622547,69.44745954
4.2,0.15118215,24.84566548,99.86362083
4.2,1.099542783,29.48303166,99.12036577
3.36089457,-0.999042763,47.39172372,28.9057271
3.109993962,-2.5,40.84234631,7.124046185
4.199970843,0.20250483,23.74164999,99.70973134
3.944834208,1.51072425,33.57550895,77.52760463
3.509509832,-2.007924889,30.53527516,40.85281273
3.274262112,-2.5,57.59263905,19.97554405
3.698233557,-0.005796308,33.33895704,58.18149272
3.325433104,-2.011515102,35.91298083,25.51021328
3.652971948,-1.994419163,31.02639768,52.81879366
3.792343424,-1.006160028,46.94438918,64.87647116
3.889675535,-2.014186757,25.13504647,72.52827854
3.622950771,-0.00262609,31.74576436,51.91046337
3.758076508,-2.013215087,28.91541266,61.56247026
3.874756477,-2.013433431,25.94837589,71.28562634
4.2,-0.005994076,24.07552002,99.90275674
3.644339947,-2.01459478,30.57156349,52.08331979
3.461055587,0.000260591,39.29676235,38.42109042
3.273338373,-2.5,30.4310807,20.77819779
3.221551283,-2.011177392,37.90672448,16.85366496
3.074659757,-0.003876093,37.78112909,6.218545577
4.1969508,0.057556654,23.98767308,99.59862198
3.101498796,-2.5,56.53298847,5.631583548
3.452234036,-1.989272247,34.94479362,36.09475183
3.101078692,-1.986725862,38.39592939,6.833843682
3.272455975,-2.5,36.27979818,20.70466459
3.959293638,1.499521708,28.20091152,78.74151915
3.139822634,-1.009724991,48.63773707,10.41221928
3.353403855,-2.008831104,32.74580765,27.84325635
4.199284708,0.418860047,26.81339198,99.60530429
4.179188601,-0.001243628,25.22390508,98.26472185
3.784593515,-2.007363504,27.35809668,63.7769021
3.585401145,-0.00243242,42.14090484,48.6744376
4.19661205,0.077245612,24.67678362,99.62355272
3.683758507,-0.006264378,41.37221039,56.90625355
3.435833967,-1.988457119,34.1054734,34.72873155
3.942328129,1.490494404,25.01489252,77.33494856
3.721033237,-1.989177867,29.52806812,58.49476082
4.2,0.032315737,24.15566598,99.88971401
3.118759776,-2.5,35.13830476,7.896648008
3.264392914,-1.46E-05,36.13275297,22.03273115
3.916511893,1.514612833,24.52866163,75.11716696
3.249961373,-1.995913391,34.65653599,19.23338369
3.090303196,-2.5,40.09867974,5.520332307
4.072626782,1.492572258,26.42187194,88.1915074
3.968275946,1.513727468,25.45863,79.47868022
3.220522536,-0.003676827,54.57822793,17.64502514
4.2,-0.006185754,24.7197093,99.96702233
4.2,-0.001892491,24.0827045,99.90675646
3.595391609,-1.989310942,30.26307803,48.02451868
3.401900284,-0.005142484,53.25029792,32.82506143
3.15573089,-2.011287661,38.37686547,11.36854403
3.342242935,-2.011980513,33.05239859,26.91066021
4.199750975,0.199743204,24.55652181,99.7751055
3.494451194,-2.008519799,31.15197323,39.59745029
3.182968911,-2.5,34.47981441,13.24740924
4.185767251,0.793498933,29.92592713,98.17913844
3.38848985,-2.011282806,32.71803745,30.76512791
3.937812811,1.508022889,25.83416306,76.94464926
3.263602708,0.000639616,40.77846536,21.92745735
4.199557105,1.392739933,28.83472811,98.84890012
4.196852248,0.029860586,26.45666601,99.71379885
3.302303627,-1.995669299,24.85030175,23.58046363
4.196703677,1.512572429,28.72863711,98.51524844
4.113472619,1.519545414,27.16661564,91.57374859
3.610896775,-0.004860467,30.89949403,50.90417619
3.988054642,1.488228053,25.89750362,81.14730441
3.494818099,-1.993807138,31.42681335,39.6397959
3.834482119,1.49562379,23.99365095,68.24304266
3.693114977,-0.006110616,30.07898666,57.75469291
3.079240921,-1.000469834,47.60401061,5.42283367
3.128376489,-2.011109971,38.63456248,9.08915278
3.678585109,-2.007888246,30.19808515,54.9424485
3.638531766,-2.005077663,24.87306805,51.59422515
3.143050577,-2.5,37.76043076,9.920881408
3.7847846,1.490600941,24.55253403,64.16148931
3.314281311,-1.996675919,33.32976021,24.5927685
3.429088918,-2.5,33.6341163,33.75740982
3.158366433,-0.000269157,40.09077371,13.19244872
3.245839543,-1.99115452,37.39639296,18.89370496
3.233683195,-2.5,33.39426544,17.47359959
3.365066764,-2.5,55.00163472,27.67214863
4.197139523,0.078035504,24.00614017,99.59981249
3.32173465,-2.011975366,35.16457975,25.20164055
4.196051372,0.901264208,28.91194138,98.94993627
3.384827266,-2.5,54.57127281,29.34037522
3.152069082,-2.010986761,37.68582407,11.06363405
4.18941202,0.033692245,26.73413309,99.09071455
3.144906044,-2.5,38.96416778,10.07550368
4.2,0.138262011,24.06387653,99.79577804
3.475380747,-2.5,33.05444243,37.61506222
4.198479347,0.074059062,24.32935152,99.74696683
3.681131432,-0.004013693,31.04564722,56.75774171
3.178112536,-2.5,57.03148707,11.99113695
4.2,0.635702999,28.87801482,99.4914376
3.143800993,-2.007096053,38.55895229,10.37773923
3.619011777,-1.994502515,28.2474775,49.98871275
3.743583471,-0.003284047,37.99497842,61.96266198
3.65496932,-0.001964146,35.84808353,54.57920534
3.953619753,1.510158668,26.36202246,78.26018585
3.929789413,1.513992419,30.41975387,76.27125714
3.579703496,-1.00736786,46.13333388,47.19606368
3.897004751,1.514262905,28.61950994,73.53898557
3.104591195,-2.5,40.76208008,6.677828889
3.171083857,-2.5,36.75494125,12.25698808
4.2,0.03853572,23.73289724,99.84246115
4.2,0.03790748,26.6973714,99.96967402
3.155285493,-2.01329112,38.07431071,11.32982489
3.177327435,-2.5,33.51341995,12.77728629
4.196508241,0.078660157,23.92231743,99.53832371
3.193312197,-2.5,37.65574408,14.10934979
3.464147243,-1.996531064,33.28249074,37.0817121
3.930612281,1.489235076,25.78925352,76.35963538
3.626523512,-0.005072337,42.58928263,52.07677067
3.960405169,1.512580503,24.83402797,78.80710245
3.688588607,-1.988091536,29.56768775,55.79191065
4.2,0.772205248,30.1745147,99.3822358
3.242862105,-2.5,56.60565484,17.40822604
3.902514548,-1.997429278,26.49395348,73.61160229
3.169584078,-0.002488827,37.33674994,14.13001546
3.321558384,-1.994927157,50.23069076,24.68905574
3.467123844,-1.994623948,31.15196955,37.33128782
4.068298921,1.510462716,25.78359028,87.81653992
4.015777476,1.494294594,25.02180843,83.4526873
3.152915308,-2.5,37.62183684,10.7429423
3.604546345,-2.5,49.48199141,47.90476249
3.629719676,-2.012777255,29.7969062,50.86641786
3.35850148,0.000541239,27.28463559,29.87469036
4.2,0.28525011,26.51590646,99.77179991
3.953405938,1.516394506,28.517318,78.23737925
3.768904086,-1.99009183,28.68260243,62.48326701
3.487195092,-1.997660667,30.76975308,39.00146249
3.670762139,1.5146055,26.32646634,54.68516055
3.95222728,1.508552681,25.91912768,78.14543122
3.558204978,-2.010137587,30.53414764,44.90897145
3.382039744,-1.989523514,36.41535294,30.24502655
3.951236477,1.514271577,25.60710826,78.05828913
3.478512645,-2.010653231,31.56980261,38.26753119
3.927360982,1.517103176,24.04711107,75.97111037
3.880084034,1.489733097,24.55470004,72.10401971
3.690712064,-0.001836654,28.69044307,57.5578693
3.262726109,-2.5,55.97755864,19.09496451
3.821188988,-2.014181393,27.81322238,66.82107054
3.265071793,-2.010304329,35.18200073,20.48107262
3.199613675,-2.5,32.4034226,14.63447295
3.471904848,-1.989942844,33.90505418,37.73344974
3.379261565,-0.000947878,29.20523012,31.60437209
3.320097139,-2.5,56.18617716,23.86545269
3.170225963,-2.5,37.63097828,12.18549693
3.883639236,1.515209363,26.87853464,72.42443553
3.39587365,-2.5,54.17914695,30.28051346
3.460061595,-1.989949106,34.13417489,36.74650695
3.635961107,-0.005586301,38.83829897,52.99228991
3.301208264,-2.009979391,35.27726745,23.49270518
3.151744843,-2.5,37.03418726,10.6454036
3.852633434,1.488327123,25.81017207,69.86212446
3.459815181,-1.991820166,33.78266377,36.72447563
3.258203309,-0.000833615,30.36670308,21.51627553
3.117478426,-2.5,36.65496534,7.789868816
3.395844875,-1.005972325,48.39790964,31.76239959
